study_id,title,domain_psy,domain_edu,domain_beh,domain_ha,arch_deb,arch_soc,arch_game,arch_grdw,arch_pipe,component_role,component_mem,component_grd,component_ref,component_con,eval_cv,eval_rel,eval_br,eval_ped,eval_safe,human_validation,coding_status
M001,"VIRT-LAB: An AI-Powered System for Flexible, Customizable, and Large-scale Team Simulations",,,,,,,,Yes,,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
M002,Aligning Generative AI with Hierarchical K-12 Curricula: A RAG and Multi-Agent Framework for EFL Content Generation,,,,,,,,Yes,,,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
M003,Mind the (Belief) Gap: Group Identity in the World of LLMs,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,,Yes,,Conservative title/abstract coding; full-text verification required
M004,How Trust Networks Shape Students’ Opinions About the Proficiency of Artificially Intelligent Assistants,,Yes,,Yes,,,,,,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
M005,FAIRGAME: A Framework for AI Agents Bias Recognition Using Game Theory,,,Yes,Yes,,Yes,Yes,,,Yes,,,,,,,,,Yes,,Conservative title/abstract coding; full-text verification required
M006,KAQG: A Knowledge-Graph-Enhanced RAG for Difficulty-Controlled Question Generation,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
M007,MIND: Towards Immersive Psychological Healing with Multi-Agent Inner Dialogue,Yes,,,,,,,Yes,,Yes,,Yes,,,,,,,,,Conservative title/abstract coding; full-text verification required
M008,An Empirical Study of Group Conformity in Multi-Agent Systems,,,Yes,Yes,Yes,,,,,Yes,,,Yes,,,,Yes,,Yes,,Conservative title/abstract coding; full-text verification required
M009,Simulating Opinion Dynamics with Networks of LLM-based Agents,,,Yes,Yes,,,,Yes,,,,Yes,,Yes,,,Yes,,Yes,,Conservative title/abstract coding; full-text verification required
M010,HYPOTHETICAL MINDS: SCAFFOLDING THEORY OF MIND FOR MULTI-AGENT TASKS WITH LARGE LANGUAGE MODELS,,Yes,,Yes,,,,Yes,,,Yes,Yes,,,Yes,,,,,,Conservative title/abstract coding; full-text verification required
M011,The Coupling Effect Between the Environment and Strategies Drives the Emergence of Group Cooperation,,,Yes,,,,,,,,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
M012,Enhancing Online Learning Through Multi-Agent Debates for CS University Students,,Yes,,,Yes,,,,,,,,Yes,,,,,,,,Conservative title/abstract coding; full-text verification required
M013,Computational Theory of Mind with Abstractions for Effective Human-Agent Collaboration,,,,Yes,,,,,,,,,,,Yes,,,,,,Conservative title/abstract coding; full-text verification required
M014,Agent4Edu: Generating Learner Response Data by Generative Agents for Intelligent Education Systems,Yes,Yes,,,,Yes,,Yes,Partial,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Conservative title/abstract coding; full-text verification required
M015,Mapping Student-AI Interaction Dynamics in Multi-Agent Learning Environments: Supporting Personalised Learning and Reducing Performance Gaps,,Yes,,,,Yes,,,,Yes,,,,,,,,,,,Conservative title/abstract coding; full-text verification required
M016,Enhancing Student Experience and Learning with Iterative Design in an Intelligent Educational Game,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,Conservative title/abstract coding; full-text verification required
M017,Enhancing Belief Consistency of Large Language Model Agents in Decision-Making Process Based on Attribution Theory,,,,,,,,,,,,,,,,Yes,,,,,Conservative title/abstract coding; full-text verification required
M018,How Personality Traits Influence Negotiation Outcomes? A Simulation based on Large Language Models,Yes,,Yes,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,Conservative title/abstract coding; full-text verification required
M019,LLM Agents at the Roundtable: A Multi-Perspective and Dialectical Reasoning Framework for Essay Scoring,,Yes,,,Yes,,,Yes,Partial,,,Yes,,Yes,,,,,,Yes,Conservative title/abstract coding; full-text verification required
